time(ms);x;y;lat;lon;contact;announce;area
5103;417;68;48.393136;-4.42514;;;1
5115;414;70;48.393122;-4.425172;;;
5132;411;71;48.393115;-4.425204;;;
5149;408;74;48.393094;-4.425237;;;
5165;405;76;48.393079;-4.425269;;;
5182;403;78;48.393065;-4.42529;;;
5216;401;81;48.393044;-4.425312;;;
5232;399;84;48.393022;-4.425333;;;
5249;398;86;48.393008;-4.425344;;;
5265;396;90;48.39298;-4.425365;;;
5288;394;93;48.392958;-4.425387;;;
5299;392;98;48.392923;-4.425408;;;
5315;389;103;48.392887;-4.425441;;;
5332;386;107;48.392858;-4.425473;;;
5349;384;111;48.39283;-4.425494;;;
5365;383;113;48.392816;-4.425505;;;
5382;380;115;48.392801;-4.425537;;;
5465;384;106;48.392866;-4.425494;;;
5482;386;100;48.392908;-4.425473;;;
5499;386;96;48.392937;-4.425473;;;
5515;386;93;48.392958;-4.425473;;;
5532;386;90;48.39298;-4.425473;;;
5549;386;87;48.393001;-4.425473;;;
5582;386;85;48.393015;-4.425473;;;
5599;386;83;48.393029;-4.425473;;;
5649;386;80;48.393051;-4.425473;;;
5699;386;78;48.393065;-4.425473;;;
5799;385;76;48.393079;-4.425483;;;
6166;384;78;48.393065;-4.425494;;;
6199;383;82;48.393037;-4.425505;;;
6233;383;84;48.393022;-4.425505;;;
6917;384;86;48.393008;-4.425494;;;
6950;387;89;48.392987;-4.425462;;;
6983;390;92;48.392965;-4.42543;;;
7017;392;95;48.392944;-4.425408;;;
7033;395;95;48.392944;-4.425376;;;
7067;400;94;48.392951;-4.425323;;;
7083;403;94;48.392951;-4.42529;;;
7100;406;94;48.392951;-4.425258;;;
7117;409;94;48.392951;-4.425226;;;
7133;412;94;48.392951;-4.425194;;;
7150;416;94;48.392951;-4.425151;;;
7167;420;94;48.392951;-4.425108;;;
7184;426;95;48.392944;-4.425044;;;
7200;432;96;48.392937;-4.424979;;;
7217;438;98;48.392923;-4.424915;;;
7234;445;99;48.392915;-4.42484;;;
7250;451;102;48.392894;-4.424775;;;
7267;457;105;48.392873;-4.424711;;;
7284;466;111;48.39283;-4.424614;;;
7300;480;117;48.392787;-4.424464;;;
7317;494;124;48.392737;-4.424314;;;
7334;510;132;48.39268;-4.424142;;;
7350;526;140;48.392623;-4.423971;;;
7367;538;146;48.392581;-4.423842;;;
7385;554;152;48.392538;-4.42367;;;
7401;571;160;48.392481;-4.423488;;;
7418;584;165;48.392445;-4.423348;;;
7441;598;170;48.39241;-4.423198;;;2
7453;609;174;48.392381;-4.42308;glaïeule;glaïeule;
7469;619;176;48.392367;-4.422973;glaïeule;glaïeule;
7485;626;179;48.392346;-4.422898;glaïeule;glaïeule;
7502;634;181;48.392331;-4.422812;glaïeule;glaïeule;
7518;645;182;48.392324;-4.422694;glaïeule;glaïeule;
7535;654;183;48.392317;-4.422597;glaïeule;glaïeule;
7552;661;183;48.392317;-4.422522;glaïeule;glaïeule;
7569;670;183;48.392317;-4.422426;glaïeule;glaïeule;
7584;676;183;48.392317;-4.422361;glaïeule;;
7601;683;183;48.392317;-4.422286;glaïeule;;
7618;689;182;48.392324;-4.422222;glaïeule;;
7634;694;182;48.392324;-4.422168;glaïeule;;
7651;697;182;48.392324;-4.422136;glaïeule;;
7668;700;182;48.392324;-4.422104;glaïeule;;
7701;703;182;48.392324;-4.422072;glaïeule;;
7718;705;182;48.392324;-4.42205;glaïeule;;
7801;702;182;48.392324;-4.422082;glaïeule;;
7818;700;182;48.392324;-4.422104;glaïeule;;
7834;698;182;48.392324;-4.422125;glaïeule;;
7868;696;182;48.392324;-4.422147;glaïeule;;
7884;694;182;48.392324;-4.422168;glaïeule;;
7918;691;182;48.392324;-4.4222;glaïeule;;
7951;688;182;48.392324;-4.422233;glaïeule;;
