time(ms);x;y;lat;lon;contact;announce;area
5705;0;874;48.387394;-4.429614;;;
5721;0;879;48.387358;-4.429614;;;
5738;2;885;48.387316;-4.429593;;;
5755;2;893;48.387259;-4.429593;;;
5771;4;903;48.387187;-4.429571;;;
5788;5;914;48.387109;-4.42956;;;
5800;8;927;48.387016;-4.429528;;;
5821;11;938;48.386938;-4.429496;;;
5838;16;949;48.38686;-4.429442;;;
5855;17;958;48.386795;-4.429432;;;
5871;19;968;48.386724;-4.42941;;;
5888;22;978;48.386653;-4.429378;;;7
5905;23;986;48.386596;-4.429367;;;
5921;26;992;48.386553;-4.429335;;;
5938;29;996;48.386525;-4.429303;;;
5955;30;999;48.386503;-4.429292;;;
5972;31;1002;48.386482;-4.429281;;;
5988;33;1005;48.386461;-4.42926;;;
6005;35;1009;48.386432;-4.429239;;;
6022;37;1012;48.386411;-4.429217;;;
6039;40;1018;48.386368;-4.429185;;;
6055;43;1026;48.386311;-4.429153;;;
6072;46;1032;48.386268;-4.429121;;;
6089;50;1038;48.386225;-4.429078;;;
6105;52;1041;48.386204;-4.429056;;;
6118;52;1041;48.386204;-4.429056;;;
6138;-59;944;48.386895;-4.430247;;;
6155;-58;951;48.386845;-4.430236;;;
6172;-57;955;48.386817;-4.430226;;;
6189;-56;959;48.386788;-4.430215;;;
6222;-56;962;48.386767;-4.430215;;;
6239;-56;964;48.386753;-4.430215;;;
6839;-5;946;48.386881;-4.429668;;;
6856;-10;946;48.386881;-4.429721;;;
6872;-13;946;48.386881;-4.429754;;;
6889;-16;946;48.386881;-4.429786;;;
6906;-19;948;48.386867;-4.429818;;;
6922;-22;949;48.38686;-4.42985;;;
6939;-25;951;48.386845;-4.429882;;;
6956;-29;955;48.386817;-4.429925;;;
6973;-31;957;48.386803;-4.429947;;;
6989;-34;960;48.386781;-4.429979;;;
7006;-37;964;48.386753;-4.430011;;;
7023;-40;968;48.386724;-4.430043;;;
7039;-43;973;48.386689;-4.430075;;;
7056;-47;979;48.386646;-4.430118;;;
7072;-51;984;48.38661;-4.430161;;;
7089;-53;986;48.386596;-4.430183;;;
7106;-56;991;48.38656;-4.430215;;;
7122;-57;994;48.386539;-4.430226;;;
7140;-58;995;48.386532;-4.430236;;;
22894;400;913;48.387116;-4.425323;;;7
22896;399;913;48.387116;-4.425333;;;
22902;397;912;48.387123;-4.425355;;;
23099;356;866;48.387451;-4.425795;;;7
24804;276;822;48.387764;-4.426653;;;7
24887;273;822;48.387764;-4.426685;;;
24937;274;822;48.387764;-4.426674;;;
24970;274;822;48.387764;-4.426674;;;
25120;271;823;48.387757;-4.426707;;;
25170;268;826;48.387736;-4.426739;;;
25204;268;829;48.387715;-4.426739;;;
25372;268;843;48.387615;-4.426739;;;7
25404;268;845;48.387601;-4.426739;;;
25437;268;849;48.387572;-4.426739;;;
25454;268;851;48.387558;-4.426739;;;
25487;268;854;48.387536;-4.426739;;;
25521;268;856;48.387522;-4.426739;;;
25604;268;858;48.387508;-4.426739;;;
25771;268;861;48.387487;-4.426739;;;
26623;264;858;48.387508;-4.426782;;;7
26639;267;862;48.387479;-4.426749;;;
26655;271;865;48.387458;-4.426707;;;
26672;274;868;48.387437;-4.426674;;;
26688;277;871;48.387415;-4.426642;;;
26722;280;875;48.387387;-4.42661;;;
26738;282;876;48.38738;-4.426589;;;
26772;282;879;48.387358;-4.426589;;;
26805;282;882;48.387337;-4.426589;;;
26839;282;885;48.387316;-4.426589;;;
26855;282;887;48.387301;-4.426589;;;
26889;282;890;48.38728;-4.426589;;;
26922;282;893;48.387259;-4.426589;;;
26955;282;895;48.387244;-4.426589;;;
26972;282;897;48.38723;-4.426589;;;
27005;282;900;48.387209;-4.426589;;;
27072;281;901;48.387202;-4.426599;;;
27089;278;903;48.387187;-4.426631;;;
27105;277;902;48.387194;-4.426642;;;
27139;274;902;48.387194;-4.426674;;;
27172;268;902;48.387194;-4.426739;;;
27189;265;902;48.387194;-4.426771;;;
27205;260;902;48.387194;-4.426825;;;
27222;254;902;48.387194;-4.426889;;;
27239;245;901;48.387202;-4.426985;;;
27255;238;900;48.387209;-4.427061;;;
27272;232;898;48.387223;-4.427125;;;
27289;226;898;48.387223;-4.427189;;;
27305;222;896;48.387237;-4.427232;;;
27322;220;894;48.387251;-4.427254;;;
27339;214;894;48.387251;-4.427318;;;
27356;209;894;48.387251;-4.427372;;;
27372;205;894;48.387251;-4.427415;;;
27389;200;894;48.387251;-4.427468;;;
27406;198;893;48.387259;-4.42749;;;
27422;195;892;48.387266;-4.427522;;;
27439;192;893;48.387259;-4.427554;;;
27456;189;893;48.387259;-4.427586;;;
27472;187;893;48.387259;-4.427608;;;
27489;185;893;48.387259;-4.427629;;;
27522;182;893;48.387259;-4.427661;;;
27873;182;895;48.387244;-4.427661;;;
27907;186;900;48.387209;-4.427618;;;
27923;194;904;48.38718;-4.427533;;;
27939;204;910;48.387137;-4.427425;;;
27956;220;917;48.387088;-4.427254;;;
27973;236;923;48.387045;-4.427082;;;
27989;247;926;48.387023;-4.426964;;;
28007;255;930;48.386995;-4.426878;;;
28023;262;933;48.386974;-4.426803;;;
28039;266;934;48.386966;-4.42676;;;
28056;268;935;48.386959;-4.426739;;;
28073;270;937;48.386945;-4.426717;;;
28106;273;940;48.386924;-4.426685;;;
