time(ms);x;y;lat;lon;contact;announce
5654;325;904;48.38718;-4.426127;;
5699;329;902;48.387194;-4.426084;;
5715;332;900;48.387209;-4.426052;;
5732;338;897;48.38723;-4.425988;;
5749;343;895;48.387244;-4.425934;;
5766;348;891;48.387273;-4.42588;;
5782;354;886;48.387308;-4.425816;;
5799;360;882;48.387337;-4.425752;;
5816;365;878;48.387365;-4.425698;;
5832;371;875;48.387387;-4.425634;;
5854;376;872;48.387408;-4.42558;cerise;cerise
5866;382;869;48.38743;-4.425516;cerise;
5883;389;866;48.387451;-4.425441;cerise;
5900;396;862;48.387479;-4.425365;cerise;
5916;404;858;48.387508;-4.42528;cerise;
5933;412;854;48.387536;-4.425194;cerise;
5949;420;850;48.387565;-4.425108;cerise;
5966;429;846;48.387593;-4.425011;cerise;
5983;438;842;48.387622;-4.424915;cerise;
5999;446;838;48.38765;-4.424829;cerise;
6016;454;834;48.387679;-4.424743;cerise;
6033;462;830;48.387707;-4.424657;cerise;
6049;467;827;48.387729;-4.424604;cerise;
6066;474;824;48.38775;-4.424529;cerise;
6083;481;821;48.387772;-4.424453;cerise;
6099;487;818;48.387793;-4.424389;cerise;
6116;493;815;48.387814;-4.424325;cerise;
6133;497;812;48.387836;-4.424282;cerise;
6150;501;811;48.387843;-4.424239;cerise;
6166;503;809;48.387857;-4.424217;cerise;
6183;506;808;48.387864;-4.424185;cerise;
6216;508;809;48.387857;-4.424164;cerise;
6233;510;809;48.387857;-4.424142;cerise;
6266;513;809;48.387857;-4.42411;cerise;
6618;510;808;48.387864;-4.424142;cerise;cerise
6650;507;808;48.387864;-4.424175;cerise;
6683;504;808;48.387864;-4.424207;cerise;
6717;502;810;48.38785;-4.424228;cerise;
6733;500;810;48.38785;-4.42425;cerise;
6800;500;806;48.387878;-4.42425;cerise;
6817;502;802;48.387907;-4.424228;cerise;
6850;501;800;48.387921;-4.424239;cerise;
6867;502;798;48.387935;-4.424228;cerise;
6900;502;795;48.387957;-4.424228;cerise;
7542;55;306;48.391441;-4.429024;;
7549;55;306;48.391441;-4.429024;;
7600;47;300;48.391483;-4.42911;;
7617;42;295;48.391519;-4.429163;;
8442;98;989;48.386575;-4.428563;;
8517;201;357;48.391077;-4.427458;;
8601;199;360;48.391056;-4.427479;;
8618;196;362;48.391042;-4.427511;;
8634;193;364;48.391028;-4.427543;;
8651;190;367;48.391006;-4.427576;;
8668;187;372;48.390971;-4.427608;;
8684;182;376;48.390942;-4.427661;;
8701;176;381;48.390906;-4.427726;;
8719;168;386;48.390871;-4.427812;;
8735;159;390;48.390842;-4.427908;;
8751;151;394;48.390814;-4.427994;;
8768;145;397;48.390792;-4.428058;;
8785;137;401;48.390764;-4.428144;;
8801;127;406;48.390728;-4.428251;;
8818;116;412;48.390686;-4.428369;;
8835;106;416;48.390657;-4.428477;;
8851;95;419;48.390636;-4.428595;;
8868;85;423;48.390607;-4.428702;;
8890;76;428;48.390572;-4.428799;;
8902;66;434;48.390529;-4.428906;;
8918;60;439;48.390493;-4.42897;;
8935;52;445;48.39045;-4.429056;;
8951;44;450;48.390415;-4.429142;;
8968;35;456;48.390372;-4.429239;;
8985;26;460;48.390344;-4.429335;;
9001;19;463;48.390322;-4.42941;;
9018;13;466;48.390301;-4.429475;;
9035;10;468;48.390287;-4.429507;;
9051;7;470;48.390272;-4.429539;;
9085;4;472;48.390258;-4.429571;;
9101;4;474;48.390244;-4.429571;;
9135;6;476;48.39023;-4.42955;;
9152;12;476;48.39023;-4.429485;;
9168;21;474;48.390244;-4.429389;;
9185;29;471;48.390265;-4.429303;;
9202;36;468;48.390287;-4.429228;;
9218;44;465;48.390308;-4.429142;;
9235;57;462;48.390329;-4.429003;;
9252;71;458;48.390358;-4.428852;;
9268;86;455;48.390379;-4.428691;;
9285;100;453;48.390393;-4.428541;;
9302;111;450;48.390415;-4.428423;;
9318;123;448;48.390429;-4.428294;;
9335;135;445;48.39045;-4.428166;;
9352;147;442;48.390472;-4.428037;;
9368;159;439;48.390493;-4.427908;;
9385;172;435;48.390522;-4.427769;;
9402;184;432;48.390543;-4.42764;;
9418;195;427;48.390579;-4.427522;;
9435;205;422;48.390614;-4.427415;;
9452;216;417;48.39065;-4.427297;;
9468;227;413;48.390678;-4.427179;;
9485;237;408;48.390714;-4.427071;;
9502;248;403;48.39075;-4.426953;;
9518;259;397;48.390792;-4.426835;;
9535;271;390;48.390842;-4.426707;;
9552;280;382;48.390899;-4.42661;;
9569;287;376;48.390942;-4.426535;;
9585;293;370;48.390985;-4.42647;;
9602;300;364;48.391028;-4.426395;;
9619;307;358;48.39107;-4.42632;;
9635;315;350;48.391127;-4.426234;;
9652;323;342;48.391184;-4.426149;;
9669;329;333;48.391248;-4.426084;;
9685;334;322;48.391327;-4.426031;;
9702;337;313;48.391391;-4.425998;;
9719;340;302;48.391469;-4.425966;;
9735;342;292;48.39154;-4.425945;;
9752;343;281;48.391619;-4.425934;;
9769;342;267;48.391719;-4.425945;;
9785;340;254;48.391811;-4.425966;;
9802;335;235;48.391947;-4.42602;;
9819;331;223;48.392032;-4.426063;;
9835;324;207;48.392146;-4.426138;;
9852;318;194;48.392239;-4.426202;;
9869;313;184;48.39231;-4.426256;;
9885;307;172;48.392395;-4.42632;;
9902;300;158;48.392495;-4.426395;;
9919;291;143;48.392602;-4.426492;;
9935;282;130;48.392695;-4.426589;;
9952;273;119;48.392773;-4.426685;;
9969;264;109;48.392844;-4.426782;;
9986;255;98;48.392923;-4.426878;;
10002;244;87;48.393001;-4.426996;;
10019;236;78;48.393065;-4.427082;;
10036;227;71;48.393115;-4.427179;;
10052;220;65;48.393158;-4.427254;;
10069;214;61;48.393186;-4.427318;;
10086;208;58;48.393208;-4.427382;;
10102;203;56;48.393222;-4.427436;;
10119;197;54;48.393236;-4.4275;;
10136;194;54;48.393236;-4.427533;;
10152;191;54;48.393236;-4.427565;;
10169;188;54;48.393236;-4.427597;;
10186;185;54;48.393236;-4.427629;;
10202;182;54;48.393236;-4.427661;;
10219;179;54;48.393236;-4.427694;;
10236;176;54;48.393236;-4.427726;;
10252;173;54;48.393236;-4.427758;;
10269;168;54;48.393236;-4.427812;;
10286;162;55;48.393229;-4.427876;;
10302;154;56;48.393222;-4.427962;;
10319;144;56;48.393222;-4.428069;;
10336;133;56;48.393222;-4.428187;;
10352;116;56;48.393222;-4.428369;;
10369;97;55;48.393229;-4.428573;;
10386;80;55;48.393229;-4.428756;;
10403;66;54;48.393236;-4.428906;;
10419;50;53;48.393243;-4.429078;;
10436;26;52;48.39325;-4.429335;;
10453;6;52;48.39325;-4.42955;;
10469;-14;51;48.393257;-4.429764;;
10486;-36;49;48.393272;-4.43;;
10536;-97;49;48.393272;-4.430655;;
10553;-109;49;48.393272;-4.430783;;
10569;-121;49;48.393272;-4.430912;;
10586;-135;49;48.393272;-4.431062;;
10603;-147;49;48.393272;-4.431191;;
10619;-156;49;48.393272;-4.431288;;
10636;-163;49;48.393272;-4.431363;;
10653;-167;49;48.393272;-4.431406;;
10686;-171;51;48.393257;-4.431449;;
17218;470;660;48.388919;-4.424571;;
17258;466;662;48.388904;-4.424614;;
17275;460;666;48.388876;-4.424679;;
17292;454;670;48.388847;-4.424743;;
17308;448;672;48.388833;-4.424808;;
17325;446;674;48.388819;-4.424829;;
17342;443;676;48.388805;-4.424861;;
17358;441;677;48.388798;-4.424883;;
17375;439;679;48.388783;-4.424904;;
17408;436;681;48.388769;-4.424936;;
17442;433;684;48.388748;-4.424968;;
17475;432;686;48.388733;-4.424979;;
17508;429;690;48.388705;-4.425011;;
17525;426;694;48.388676;-4.425044;;
17542;423;698;48.388648;-4.425076;;
17558;419;703;48.388612;-4.425119;;
17575;414;708;48.388577;-4.425172;;
17592;410;712;48.388548;-4.425215;;
17620;405;717;48.388513;-4.425269;cerise;cerise
17626;402;720;48.388491;-4.425301;cerise;
17643;401;721;48.388484;-4.425312;cerise;
17661;398;723;48.38847;-4.425344;cerise;
17743;405;721;48.388484;-4.425269;cerise;
17759;410;718;48.388505;-4.425215;cerise;
17775;415;714;48.388534;-4.425162;;
17792;420;709;48.38857;-4.425108;;
30214;609;736;48.388377;-4.42308;;
30286;605;740;48.388349;-4.423123;;
30303;600;743;48.388327;-4.423177;;
30319;593;747;48.388299;-4.423252;;
30336;582;751;48.38827;-4.42337;;
30352;570;754;48.388249;-4.423499;;
30369;559;756;48.388235;-4.423617;;
30386;545;758;48.38822;-4.423767;;
30403;531;760;48.388206;-4.423917;;
30425;519;762;48.388192;-4.424046;cerise;cerise
30436;504;763;48.388185;-4.424207;cerise;
30453;490;765;48.388171;-4.424357;cerise;
30470;479;766;48.388163;-4.424475;cerise;
30488;469;769;48.388142;-4.424582;cerise;
30503;458;771;48.388128;-4.4247;cerise;
30520;447;772;48.388121;-4.424818;cerise;
30537;437;774;48.388106;-4.424926;cerise;
30553;426;777;48.388085;-4.425044;cerise;
30570;417;779;48.388071;-4.42514;cerise;
30586;409;781;48.388057;-4.425226;cerise;
30603;401;783;48.388042;-4.425312;cerise;
30620;395;785;48.388028;-4.425376;cerise;
30636;388;787;48.388014;-4.425451;cerise;
30653;383;788;48.388007;-4.425505;cerise;
30670;378;790;48.387992;-4.425559;cerise;
30687;375;791;48.387985;-4.425591;cerise;
30703;372;792;48.387978;-4.425623;cerise;
30720;369;792;48.387978;-4.425655;cerise;
30737;368;793;48.387971;-4.425666;cerise;
30753;366;792;48.387978;-4.425687;cerise;
30787;363;792;48.387978;-4.425719;cerise;
31020;362;790;48.387992;-4.42573;;
31053;365;786;48.388021;-4.425698;cerise;
31097;368;784;48.388035;-4.425666;cerise;cerise
31104;371;781;48.388057;-4.425634;cerise;
31120;375;775;48.388099;-4.425591;cerise;
31137;377;771;48.388128;-4.425569;cerise;
31154;379;766;48.388163;-4.425548;cerise;
31170;380;761;48.388199;-4.425537;cerise;
31187;382;755;48.388242;-4.425516;cerise;
31204;383;750;48.388277;-4.425505;cerise;
31220;383;744;48.38832;-4.425505;cerise;
31237;382;738;48.388363;-4.425516;cerise;
31254;381;730;48.38842;-4.425526;cerise;
31270;378;719;48.388498;-4.425559;cerise;
31287;371;703;48.388612;-4.425634;;
31303;362;688;48.388719;-4.42573;;
31320;354;674;48.388819;-4.425816;;
31337;348;663;48.388897;-4.42588;;
31353;342;654;48.388961;-4.425945;;
31370;336;644;48.389033;-4.426009;;
31387;329;635;48.389097;-4.426084;;
31403;322;627;48.389154;-4.426159;;
31420;315;617;48.389225;-4.426234;;
31437;310;611;48.389268;-4.426288;;
31453;305;605;48.389311;-4.426342;;
31470;301;598;48.38936;-4.426385;;
31487;295;591;48.38941;-4.426449;;
31503;290;585;48.389453;-4.426503;;
31520;283;577;48.38951;-4.426578;;
31537;277;571;48.389553;-4.426642;;
31553;270;565;48.389596;-4.426717;;
31570;263;559;48.389638;-4.426792;;
31587;255;552;48.389688;-4.426878;;
31603;248;546;48.389731;-4.426953;;
31620;239;540;48.389774;-4.42705;;
31637;232;534;48.389816;-4.427125;;
31654;226;529;48.389852;-4.427189;;
31670;219;522;48.389902;-4.427264;;
31687;211;516;48.389945;-4.42735;;
31704;202;510;48.389987;-4.427447;;
31720;192;504;48.39003;-4.427554;;
31743;183;498;48.390073;-4.427651;;
31755;176;493;48.390108;-4.427726;;
31770;168;488;48.390144;-4.427812;;
31787;160;483;48.39018;-4.427897;;
31804;153;480;48.390201;-4.427973;;
31820;147;477;48.390222;-4.428037;;
31837;143;475;48.390237;-4.42808;;
31854;138;471;48.390265;-4.428133;;
31870;135;469;48.390279;-4.428166;;
31887;132;467;48.390294;-4.428198;;
31904;129;466;48.390301;-4.42823;;
31920;126;463;48.390322;-4.428262;;
31937;125;461;48.390336;-4.428273;;
31970;124;458;48.390358;-4.428284;;
31987;125;456;48.390372;-4.428273;;
32021;128;453;48.390393;-4.428241;;
32037;130;450;48.390415;-4.428219;;
32054;132;446;48.390443;-4.428198;;
32071;136;442;48.390472;-4.428155;;
32087;142;435;48.390522;-4.428091;;
32104;149;429;48.390564;-4.428015;;
32121;157;424;48.3906;-4.42793;;
32137;163;418;48.390643;-4.427865;;
32154;169;413;48.390678;-4.427801;;
32171;175;409;48.390707;-4.427736;;
32187;181;406;48.390728;-4.427672;;
32204;188;402;48.390757;-4.427597;;
32221;194;399;48.390778;-4.427533;;
32237;200;396;48.3908;-4.427468;;
32254;206;393;48.390821;-4.427404;;
32271;212;391;48.390835;-4.42734;;
32287;218;390;48.390842;-4.427275;;
32304;226;388;48.390857;-4.427189;;
32321;233;387;48.390864;-4.427114;;
32337;240;385;48.390878;-4.427039;;
32354;248;385;48.390878;-4.426953;;
32371;257;385;48.390878;-4.426857;;
32387;267;385;48.390878;-4.426749;;
32404;275;385;48.390878;-4.426664;;
32421;282;385;48.390878;-4.426589;;
32438;288;385;48.390878;-4.426524;;
32454;294;387;48.390864;-4.42646;;
32471;304;388;48.390857;-4.426352;;
32488;315;389;48.390849;-4.426234;;
32504;325;390;48.390842;-4.426127;;
32521;334;391;48.390835;-4.426031;;
32538;345;392;48.390828;-4.425913;;
32554;355;392;48.390828;-4.425805;;
32571;363;392;48.390828;-4.425719;;
32588;370;392;48.390828;-4.425644;;
32604;377;392;48.390828;-4.425569;;
32621;389;393;48.390821;-4.425441;;
32638;401;394;48.390814;-4.425312;;
32654;413;394;48.390814;-4.425183;;
32671;428;395;48.390807;-4.425022;;
32688;440;395;48.390807;-4.424893;;
32704;451;396;48.3908;-4.424775;;
32721;460;396;48.3908;-4.424679;;
32738;471;396;48.3908;-4.424561;;
32765;486;396;48.3908;-4.4244;poivron;poivron
32772;498;396;48.3908;-4.424271;poivron;
32789;513;397;48.390792;-4.42411;poivron;
32805;527;397;48.390792;-4.42396;poivron;
32822;538;397;48.390792;-4.423842;poivron;
32839;548;398;48.390785;-4.423735;poivron;
32855;563;398;48.390785;-4.423574;poivron;
32872;575;398;48.390785;-4.423445;poivron;
32889;589;398;48.390785;-4.423295;poivron;
32905;602;399;48.390778;-4.423155;poivron;
32922;614;399;48.390778;-4.423027;poivron;
32939;626;400;48.390771;-4.422898;poivron;
32955;640;401;48.390764;-4.422748;poivron;
32971;655;403;48.39075;-4.422587;;
32988;667;404;48.390743;-4.422458;;
33005;682;406;48.390728;-4.422297;;
33021;693;408;48.390714;-4.422179;;
33038;703;409;48.390707;-4.422072;;
33055;710;409;48.390707;-4.421997;;
33071;720;411;48.390693;-4.421889;;
33088;730;412;48.390686;-4.421782;;
33105;737;413;48.390678;-4.421707;;
33121;744;414;48.390671;-4.421632;;
33138;749;414;48.390671;-4.421578;;
33155;753;415;48.390664;-4.421535;;
33171;757;416;48.390657;-4.421492;;
