time(ms);x;y;lat;lon;contact;announce;area
6183;1382;187;48.392289;-4.414787;;;3
6191;1373;187;48.392289;-4.414883;;;
6208;1361;187;48.392289;-4.415012;;;
6225;1349;188;48.392281;-4.415141;;;
6241;1337;188;48.392281;-4.41527;;;
6255;1324;188;48.392281;-4.415409;;;
6274;1317;188;48.392281;-4.415484;;;
6291;1309;188;48.392281;-4.41557;;;
6308;1296;189;48.392274;-4.415709;;;
6325;1277;190;48.392267;-4.415913;;;
6341;1256;191;48.39226;-4.416139;;;
6358;1229;193;48.392246;-4.416428;;;
6375;1192;195;48.392232;-4.416825;;;
6391;1157;197;48.392217;-4.417201;;;
6409;1115;203;48.392175;-4.417651;;;
6426;1085;207;48.392146;-4.417973;;;2
6441;1046;214;48.392096;-4.418392;;;
6460;1009;221;48.392046;-4.418789;endive;endive;
6476;934;234;48.391954;-4.419593;endive;endive;
6492;900;247;48.391861;-4.419958;endive;endive;
6503;899;248;48.391854;-4.419969;endive;endive;
13523;119;75;48.393086;-4.428337;;;1
15484;70;55;48.393229;-4.428863;;;1
15632;72;55;48.393229;-4.428842;;;
15649;75;55;48.393229;-4.428809;;;
15683;78;55;48.393229;-4.428777;;;
15716;81;55;48.393229;-4.428745;;;
15732;83;56;48.393222;-4.428724;;;
15766;86;56;48.393222;-4.428691;;;
15799;89;56;48.393222;-4.428659;;;
15832;91;57;48.393215;-4.428638;;;
15849;93;56;48.393222;-4.428616;;;
16099;90;54;48.393236;-4.428648;;;
16133;87;54;48.393236;-4.428681;;;
16166;84;53;48.393243;-4.428713;;;
16216;83;52;48.39325;-4.428724;;;
16266;80;50;48.393265;-4.428756;;;
16416;80;53;48.393243;-4.428756;;;
16450;80;56;48.393222;-4.428756;;;
16500;80;60;48.393193;-4.428756;;;
16516;80;58;48.393208;-4.428756;;;
16533;80;58;48.393208;-4.428756;;;
16583;83;60;48.393193;-4.428724;;;
16633;86;60;48.393193;-4.428691;;;
16933;85;60;48.393193;-4.428702;;;
16950;85;60;48.393193;-4.428702;;;
16967;85;60;48.393193;-4.428702;;;
16983;85;60;48.393193;-4.428702;;;
16994;85;60;48.393193;-4.428702;;;
17067;83;63;48.393172;-4.428724;;;
17100;83;66;48.393151;-4.428724;;;
17150;83;68;48.393136;-4.428724;;;
17167;83;71;48.393115;-4.428724;;;
17200;83;75;48.393086;-4.428724;;;
17217;83;78;48.393065;-4.428724;;;
17233;83;81;48.393044;-4.428724;;;
17250;83;84;48.393022;-4.428724;;;
17267;82;87;48.393001;-4.428734;;;
17283;81;90;48.39298;-4.428745;;;
17300;80;93;48.392958;-4.428756;;;
17317;81;96;48.392937;-4.428745;;;
17334;81;99;48.392915;-4.428745;;;
17350;81;102;48.392894;-4.428745;;;
17367;81;106;48.392866;-4.428745;;;
17384;81;111;48.39283;-4.428745;;;
17400;81;116;48.392794;-4.428745;;;
17417;81;121;48.392759;-4.428745;;;
17434;81;126;48.392723;-4.428745;;;
17450;81;131;48.392687;-4.428745;;;
17467;81;135;48.392659;-4.428745;;;
17484;81;138;48.392638;-4.428745;;;
17500;81;141;48.392616;-4.428745;;;
17517;81;144;48.392595;-4.428745;;;
17534;81;148;48.392566;-4.428745;;;
17550;81;151;48.392545;-4.428745;;;
17567;81;155;48.392517;-4.428745;;;
17584;81;158;48.392495;-4.428745;;;
17600;81;161;48.392474;-4.428745;;;
17617;81;164;48.392452;-4.428745;;;
17634;81;167;48.392431;-4.428745;;;
17651;81;171;48.392403;-4.428745;;;
