time(ms);x;y;lat;lon;contact;announce;area
5479;1645;106;48.392866;-4.411965;;;3
5505;1647;105;48.392873;-4.411944;;;
5538;1649;102;48.392894;-4.411922;;;
5572;1649;100;48.392908;-4.411922;;;
5589;1649;98;48.392923;-4.411922;;;
5622;1649;95;48.392944;-4.411922;;;
5639;1649;91;48.392972;-4.411922;;;
5659;1651;89;48.392987;-4.411901;;;
5672;1652;86;48.393008;-4.41189;;;
5689;1655;83;48.393029;-4.411858;;;
5705;1660;77;48.393072;-4.411804;;;
5719;1662;75;48.393086;-4.411783;;;
10568;377;133;48.392673;-4.425569;;;1
10593;380;133;48.392673;-4.425537;;;
10893;383;133;48.392673;-4.425505;;;
11010;385;135;48.392659;-4.425483;;;
11060;385;138;48.392638;-4.425483;;;
12845;388;138;48.392638;-4.425451;;;
12895;391;138;48.392638;-4.425419;;;
12928;394;138;48.392638;-4.425387;;;
12945;396;138;48.392638;-4.425365;;;
12961;399;138;48.392638;-4.425333;;;
12978;406;136;48.392652;-4.425258;;;
12995;413;135;48.392659;-4.425183;;;
13011;429;132;48.39268;-4.425011;;;
13028;445;129;48.392702;-4.42484;;;
13045;461;125;48.39273;-4.424668;;;
13061;489;119;48.392773;-4.424368;;;
13078;521;114;48.392809;-4.424024;;;
13096;546;111;48.39283;-4.423756;;;
13112;577;107;48.392858;-4.423424;;;
13131;605;104;48.39288;-4.423123;;;2
13145;625;102;48.392894;-4.422909;;;
13162;650;100;48.392908;-4.42264;;;
13178;673;100;48.392908;-4.422394;;;
13195;692;100;48.392908;-4.42219;;;
13212;704;100;48.392908;-4.422061;;;
13228;720;100;48.392908;-4.421889;;;
13245;734;100;48.392908;-4.421739;;;
13262;746;101;48.392901;-4.42161;;;
13278;757;102;48.392894;-4.421492;;;
13295;766;102;48.392894;-4.421396;;;
13312;774;103;48.392887;-4.42131;;;
13328;779;104;48.39288;-4.421256;;;
13345;782;104;48.39288;-4.421224;;;
13362;785;104;48.39288;-4.421192;;;
13378;787;104;48.39288;-4.42117;;;
13412;789;104;48.39288;-4.421149;;;
13445;792;104;48.39288;-4.421117;;;
15331;789;102;48.392894;-4.421149;;;
15364;793;96;48.392937;-4.421106;;;
15380;795;93;48.392958;-4.421085;;;
15397;796;91;48.392972;-4.421074;;;
15413;799;86;48.393008;-4.421042;;;
15430;800;82;48.393037;-4.421031;;;
15447;801;76;48.393079;-4.42102;;;
15463;803;72;48.393108;-4.420999;;;
15480;805;66;48.393151;-4.420977;;;
15497;806;62;48.393179;-4.420967;;;
15513;807;60;48.393193;-4.420956;;;
15530;806;57;48.393215;-4.420967;;;
15547;806;54;48.393236;-4.420967;;;
15563;807;52;48.39325;-4.420956;;;
15597;807;50;48.393265;-4.420956;;;
15630;807;47;48.393286;-4.420956;;;
15947;807;51;48.393257;-4.420956;;;
15997;807;54;48.393236;-4.420956;;;
16014;807;56;48.393222;-4.420956;;;
16047;807;59;48.3932;-4.420956;;;
16064;807;63;48.393172;-4.420956;;;
16081;806;65;48.393158;-4.420967;;;
16097;806;70;48.393122;-4.420967;;;
16114;806;76;48.393079;-4.420967;;;
16131;806;82;48.393037;-4.420967;;;
16155;806;87;48.393001;-4.420967;;;
16164;806;92;48.392965;-4.420967;;;
16181;806;97;48.39293;-4.420967;;;
16197;806;102;48.392894;-4.420967;;;
16214;806;108;48.392851;-4.420967;;;
16231;807;115;48.392801;-4.420956;;;
16247;808;122;48.392752;-4.420945;;;
16264;808;130;48.392695;-4.420945;;;
16281;810;137;48.392645;-4.420924;;;
16297;810;145;48.392588;-4.420924;;;
16314;811;156;48.392509;-4.420913;;;
16331;811;165;48.392445;-4.420913;;;
16347;812;174;48.392381;-4.420902;;;
16364;812;182;48.392324;-4.420902;;;
16381;812;192;48.392253;-4.420902;;;
16397;812;202;48.392182;-4.420902;;;
16414;812;211;48.392118;-4.420902;;;
16431;812;217;48.392075;-4.420902;;;
16448;812;224;48.392025;-4.420902;;;
16464;812;229;48.391989;-4.420902;;;
16481;812;233;48.391961;-4.420902;;;
16498;812;236;48.391939;-4.420902;;;
16514;812;238;48.391925;-4.420902;;;
16548;812;239;48.391918;-4.420902;;;
16564;812;242;48.391897;-4.420902;;;
16598;811;245;48.391875;-4.420913;;;
16614;811;244;48.391882;-4.420913;;;
16631;811;248;48.391854;-4.420913;;;
16664;811;250;48.39184;-4.420913;;;
16698;811;253;48.391818;-4.420913;;;
16731;811;255;48.391804;-4.420913;;;
16815;817;250;48.39184;-4.420849;;;
16831;821;247;48.391861;-4.420806;;;
16848;826;242;48.391897;-4.420752;;;
16865;830;236;48.391939;-4.420709;;;
16881;835;231;48.391975;-4.420655;;;
16898;838;227;48.392004;-4.420623;;;
16915;842;222;48.392039;-4.42058;;;
16931;845;216;48.392082;-4.420548;;;
16948;848;210;48.392125;-4.420516;;;
16965;850;204;48.392167;-4.420495;;;
16981;852;198;48.39221;-4.420473;;;
16998;853;192;48.392253;-4.420462;;;
17015;855;186;48.392296;-4.420441;;;
17031;855;180;48.392338;-4.420441;;;
17048;855;174;48.392381;-4.420441;;;
17065;855;168;48.392424;-4.420441;;;
17082;853;161;48.392474;-4.420462;;;
17098;851;155;48.392517;-4.420484;;;
17115;849;149;48.392559;-4.420505;;;
17131;847;145;48.392588;-4.420527;;;
