time(ms);x;y;lat;lon;contact;announce;area
6521;460;137;48.392645;-4.424657;;;1
6567;459;134;48.392666;-4.424668;;;
6667;459;132;48.39268;-4.424668;;;
8185;461;135;48.392659;-4.424647;;;
8252;464;135;48.392659;-4.424614;;;
8286;467;135;48.392659;-4.424582;;;
8319;470;136;48.392652;-4.42455;;;
8335;473;136;48.392652;-4.424518;;;
8352;476;136;48.392652;-4.424486;;;
8369;479;136;48.392652;-4.424453;;;
8385;484;136;48.392652;-4.4244;;;
8402;490;136;48.392652;-4.424335;;;
8419;496;136;48.392652;-4.424271;;;
8435;502;136;48.392652;-4.424207;;;
8452;510;136;48.392652;-4.424121;;;
8469;519;135;48.392659;-4.424024;;;
8486;527;135;48.392659;-4.423938;;;
8502;533;133;48.392673;-4.423874;;;
8519;539;133;48.392673;-4.42381;;;
8537;545;132;48.39268;-4.423745;;;
8553;552;131;48.392687;-4.42367;;;
8569;558;130;48.392695;-4.423606;;;
8586;564;129;48.392702;-4.423542;;;
8603;567;129;48.392702;-4.423509;;;
8619;570;129;48.392702;-4.423477;;;
8636;572;129;48.392702;-4.423456;;;
8669;575;129;48.392702;-4.423424;;;
8703;574;129;48.392702;-4.423434;;;
8953;572;129;48.392702;-4.423456;;;
8986;569;130;48.392695;-4.423488;;;
9020;566;132;48.39268;-4.42352;;;
9036;563;132;48.39268;-4.423552;;;
9053;560;133;48.392673;-4.423584;;;
9070;557;134;48.392666;-4.423617;;;
9087;552;136;48.392652;-4.42367;;;
9103;544;137;48.392645;-4.423756;;;
9120;531;139;48.392631;-4.423896;;;
9136;517;141;48.392616;-4.424046;;;
9153;500;143;48.392602;-4.424228;;;
9169;486;144;48.392595;-4.424378;;;
9186;475;145;48.392588;-4.424496;;;
9203;467;146;48.392581;-4.424582;;;
9220;460;146;48.392581;-4.424657;;;
9236;454;147;48.392574;-4.424722;;;
9253;450;147;48.392574;-4.424765;;;
9270;446;147;48.392574;-4.424808;;;
9286;443;147;48.392574;-4.42484;;;
9320;440;147;48.392574;-4.424872;;;
9336;439;147;48.392574;-4.424883;;;
9386;436;147;48.392574;-4.424915;;;
9453;433;147;48.392574;-4.424947;;;
9486;430;147;48.392574;-4.424979;;;
9503;428;147;48.392574;-4.425001;;;
9536;425;145;48.392588;-4.425033;;;
9553;423;144;48.392595;-4.425054;;;
9586;419;142;48.392609;-4.425097;;;
9603;415;141;48.392616;-4.42514;;;
9620;412;139;48.392631;-4.425172;;;
9637;409;138;48.392638;-4.425204;;;
9653;404;136;48.392652;-4.425258;;;
9670;398;135;48.392659;-4.425323;;;
9687;392;132;48.39268;-4.425387;;;
9703;387;129;48.392702;-4.425441;;;
9720;383;126;48.392723;-4.425483;;;
9737;379;124;48.392737;-4.425526;;;
9753;374;121;48.392759;-4.42558;;;
9770;368;120;48.392766;-4.425644;;;
9787;362;118;48.39278;-4.425709;;;
9803;356;116;48.392794;-4.425773;;;
9820;350;114;48.392809;-4.425837;;;
9837;344;113;48.392816;-4.425902;;;
9853;340;112;48.392823;-4.425945;;;
9870;334;110;48.392837;-4.426009;;;
9887;328;109;48.392844;-4.426074;;;
9903;322;109;48.392844;-4.426138;;;
9920;316;108;48.392851;-4.426202;;;
9937;312;108;48.392851;-4.426245;;;
9953;310;108;48.392851;-4.426267;;;
9970;307;108;48.392851;-4.426299;;;
9987;304;108;48.392851;-4.426331;;;
10004;302;108;48.392851;-4.426352;;;
10020;300;108;48.392851;-4.426374;;;
10053;297;108;48.392851;-4.426406;;;
10087;295;108;48.392851;-4.426428;;;
10187;293;108;48.392851;-4.426449;;;
10220;290;108;48.392851;-4.426481;;;
10254;284;108;48.392851;-4.426546;;;
10270;277;109;48.392844;-4.426621;;;
10287;270;109;48.392844;-4.426696;;;
10304;264;110;48.392837;-4.42676;;;
10320;258;112;48.392823;-4.426825;;;
10337;254;113;48.392816;-4.426867;;;
10354;251;114;48.392809;-4.4269;;;
10370;248;116;48.392794;-4.426932;;;
10387;246;117;48.392787;-4.426953;;;
10420;244;120;48.392766;-4.426975;;;
