time(ms);x;y;lat;lon;contact;announce;area
11133;158;432;48.390543;-4.427897;;;4
11207;161;441;48.390479;-4.427865;;;
11224;162;448;48.390429;-4.427855;;;
11241;164;459;48.390351;-4.427833;;;
11257;165;470;48.390272;-4.427822;;;
11274;167;481;48.390194;-4.427801;;;
11291;168;493;48.390108;-4.42779;;;
11307;170;504;48.39003;-4.427769;;;
11324;171;513;48.389966;-4.427758;;;
11341;173;524;48.389888;-4.427736;;;
11357;175;534;48.389816;-4.427715;;;
11374;177;543;48.389752;-4.427694;;;
11391;179;547;48.389724;-4.427672;;;
11407;181;553;48.389681;-4.427651;;;
11424;183;560;48.389631;-4.427629;;;
11441;186;568;48.389574;-4.427597;;;
11457;188;571;48.389553;-4.427576;;;
11474;189;574;48.389531;-4.427565;;;
11491;191;577;48.38951;-4.427543;;;
11508;192;579;48.389496;-4.427533;;;
11524;194;581;48.389482;-4.427511;;;
11557;198;582;48.389474;-4.427468;;;
11591;200;582;48.389474;-4.427447;;;
11624;202;582;48.389474;-4.427425;;;
11641;204;582;48.389474;-4.427404;;;
11674;209;580;48.389489;-4.42735;;;
11691;213;579;48.389496;-4.427307;;;
11708;216;579;48.389496;-4.427275;;;
11725;218;578;48.389503;-4.427254;;;
11741;222;578;48.389503;-4.427211;;;
11758;225;577;48.38951;-4.427179;;;
11774;228;577;48.38951;-4.427146;;;
11808;231;577;48.38951;-4.427114;;;
11841;234;574;48.389531;-4.427082;;;
12742;232;572;48.389546;-4.427103;;;
13309;232;572;48.389546;-4.427103;;;
13342;231;575;48.389524;-4.427114;;;
13359;233;577;48.38951;-4.427093;;;
13376;234;580;48.389489;-4.427082;;;
13392;236;583;48.389467;-4.427061;;;
13409;237;586;48.389446;-4.42705;;;
13426;238;590;48.389417;-4.427039;;;
13442;239;593;48.389396;-4.427028;;;
13459;240;597;48.389368;-4.427018;;;
13476;240;600;48.389346;-4.427018;;;
13492;240;603;48.389325;-4.427018;;;
13509;240;606;48.389303;-4.427018;;;
13526;240;609;48.389282;-4.427018;;;
13542;240;612;48.389261;-4.427018;;;
13559;240;615;48.389239;-4.427018;;;
13576;240;618;48.389218;-4.427018;;;
13592;240;621;48.389197;-4.427018;;;
13626;240;624;48.389175;-4.427018;;;
13642;240;627;48.389154;-4.427018;;;
13676;240;629;48.38914;-4.427018;;;
13692;241;631;48.389125;-4.427007;;;
13726;241;634;48.389104;-4.427007;;;
13759;244;638;48.389075;-4.426975;;;
13776;246;640;48.389061;-4.426953;;;
13793;247;642;48.389047;-4.426943;;;
13826;250;645;48.389026;-4.42691;;;
13843;250;648;48.389004;-4.42691;;;
13876;251;650;48.38899;-4.4269;;;
13893;251;652;48.388976;-4.4269;;;
13926;252;655;48.388954;-4.426889;;;
14177;252;657;48.38894;-4.426889;;;
14494;143;222;48.392039;-4.428058;;;1
14510;144;220;48.392053;-4.428048;;;
14527;145;218;48.392068;-4.428037;;;
14543;146;215;48.392089;-4.428026;;;
14560;146;212;48.39211;-4.428026;;;
14577;146;210;48.392125;-4.428026;;;
14594;147;207;48.392146;-4.428015;;;
14610;147;204;48.392167;-4.428015;;;
14627;148;202;48.392182;-4.428005;;;
14660;148;198;48.39221;-4.428005;;;
14677;149;196;48.392224;-4.427994;;;
14710;150;193;48.392246;-4.427983;;;
14727;151;191;48.39226;-4.427973;;;
14760;152;188;48.392281;-4.427962;;;
14793;154;186;48.392296;-4.42794;;;
14810;155;184;48.39231;-4.42793;;;
15094;156;186;48.392296;-4.427919;;;
15177;159;187;48.392289;-4.427887;;;
15244;162;187;48.392289;-4.427855;;;
15277;164;187;48.392289;-4.427833;;;
15327;167;188;48.392281;-4.427801;;;
15361;170;188;48.392281;-4.427769;;;
15394;172;188;48.392281;-4.427747;;;
15427;175;188;48.392281;-4.427715;;;
15461;177;188;48.392281;-4.427694;;;
15511;180;188;48.392281;-4.427661;;;
15577;182;188;48.392281;-4.42764;;;
15661;184;190;48.392267;-4.427618;;;
15811;185;193;48.392246;-4.427608;;;
15911;185;196;48.392224;-4.427608;;;
15928;185;195;48.392232;-4.427608;;;
15944;187;198;48.39221;-4.427586;;;
15978;190;201;48.392189;-4.427554;;;
16011;193;204;48.392167;-4.427522;;;
16028;196;205;48.39216;-4.42749;;;
16044;199;206;48.392153;-4.427458;;;
16061;202;206;48.392153;-4.427425;;;
16094;204;206;48.392153;-4.427404;;;
16111;207;206;48.392153;-4.427372;;;
16128;209;206;48.392153;-4.42735;;;
16145;212;206;48.392153;-4.427318;;;
16178;215;206;48.392153;-4.427286;;;
16195;217;205;48.39216;-4.427264;;;
16211;220;203;48.392175;-4.427232;;;
16245;222;200;48.392196;-4.427211;;;
16266;225;198;48.39221;-4.427179;;;
16295;225;193;48.392246;-4.427179;;;
16311;224;187;48.392289;-4.427189;;;
16328;222;181;48.392331;-4.427211;;;
16345;220;173;48.392388;-4.427232;;;
16361;218;164;48.392452;-4.427254;;;
16378;215;154;48.392524;-4.427286;;;
16395;212;145;48.392588;-4.427318;;;
16411;207;131;48.392687;-4.427372;;;
16428;203;120;48.392766;-4.427415;;;
16445;199;114;48.392809;-4.427458;;;
16461;196;108;48.392851;-4.42749;;;
16478;193;102;48.392894;-4.427522;;;
16495;190;98;48.392923;-4.427554;;;
16511;189;95;48.392944;-4.427565;;;
16528;187;92;48.392965;-4.427586;;;
16545;186;89;48.392987;-4.427597;;;
16561;185;87;48.393001;-4.427608;;;
16595;184;84;48.393022;-4.427618;;;
16712;182;83;48.393029;-4.42764;;;
16812;179;86;48.393008;-4.427672;;;
