time(ms);x;y;lat;lon;contact;announce
3543;210;34;48.393379;-4.42734;;
3566;210;34;48.393379;-4.42734;;
3583;206;41;48.393329;-4.427382;;
3600;203;47;48.393286;-4.427415;;
3616;200;52;48.39325;-4.427447;;
3633;198;56;48.393222;-4.427468;;
3650;196;60;48.393193;-4.42749;;
3667;195;62;48.393179;-4.4275;;
3683;193;67;48.393143;-4.427522;;
3700;192;69;48.393129;-4.427533;;
3717;191;73;48.393101;-4.427543;;
3733;190;75;48.393086;-4.427554;;
3750;190;77;48.393072;-4.427554;;
3767;190;79;48.393058;-4.427554;;
3800;190;82;48.393037;-4.427554;;
3867;193;83;48.393029;-4.427522;;
3883;196;81;48.393044;-4.42749;;
3917;199;81;48.393044;-4.427458;;
3950;202;81;48.393044;-4.427425;;
3967;204;80;48.393051;-4.427404;;
4000;206;79;48.393058;-4.427382;;
4017;210;78;48.393065;-4.42734;;
4033;212;77;48.393072;-4.427318;;
4050;217;75;48.393086;-4.427264;;
4067;223;74;48.393094;-4.4272;;
4084;230;74;48.393094;-4.427125;;
4100;238;73;48.393101;-4.427039;;
4117;249;72;48.393108;-4.426921;;
4134;261;71;48.393115;-4.426792;;
4150;272;71;48.393115;-4.426674;;
4170;281;71;48.393115;-4.426578;;
4184;286;70;48.393122;-4.426524;;
4200;295;70;48.393122;-4.426428;;
4217;305;70;48.393122;-4.42632;;
4234;314;70;48.393122;-4.426224;;
4250;320;69;48.393129;-4.426159;;
4267;326;69;48.393129;-4.426095;;
4285;332;67;48.393143;-4.426031;;
4300;339;66;48.393151;-4.425956;;
4320;347;65;48.393158;-4.42587;;
4334;353;63;48.393172;-4.425805;;
4351;359;62;48.393179;-4.425741;;
4367;364;61;48.393186;-4.425687;;
4384;367;60;48.393193;-4.425655;;
4402;370;58;48.393208;-4.425623;;
4417;373;57;48.393215;-4.425591;;
4434;379;55;48.393229;-4.425526;;
4451;384;54;48.393236;-4.425473;;
4467;392;52;48.39325;-4.425387;;
4485;401;50;48.393265;-4.42529;;
4501;411;48;48.393279;-4.425183;;
4519;424;46;48.393293;-4.425044;;
4534;435;44;48.393307;-4.424926;;
4552;445;43;48.393314;-4.424818;;
4567;454;43;48.393314;-4.424722;;
4584;463;42;48.393322;-4.424625;;
4601;475;42;48.393322;-4.424496;;
4617;485;41;48.393329;-4.424389;;
4634;501;40;48.393336;-4.424217;;
4651;515;38;48.39335;-4.424067;;
4667;527;38;48.39335;-4.423938;;
4684;536;37;48.393357;-4.423842;;
4701;545;37;48.393357;-4.423745;;
4717;557;36;48.393364;-4.423617;;
4734;568;35;48.393371;-4.423499;;
4751;576;35;48.393371;-4.423413;;
4768;584;34;48.393379;-4.423327;;
4784;590;34;48.393379;-4.423263;;
4801;598;34;48.393379;-4.423177;;
4818;606;33;48.393386;-4.423091;;
4834;609;33;48.393386;-4.423059;;
4853;614;33;48.393386;-4.423005;;
4868;617;33;48.393386;-4.422973;;
4885;620;33;48.393386;-4.422941;;
4901;624;33;48.393386;-4.422898;;
4918;627;32;48.393393;-4.422866;;
4934;631;32;48.393393;-4.422823;;
4951;637;32;48.393393;-4.422758;;
4967;640;32;48.393393;-4.422726;;
4984;644;32;48.393393;-4.422683;;
5001;651;32;48.393393;-4.422608;;
5034;658;32;48.393393;-4.422533;;
5051;661;32;48.393393;-4.422501;;
5068;664;32;48.393393;-4.422469;;
5084;666;32;48.393393;-4.422447;;
5101;671;32;48.393393;-4.422394;;
5118;677;32;48.393393;-4.422329;;
5137;684;32;48.393393;-4.422254;;
5151;691;32;48.393393;-4.422179;;
5168;694;32;48.393393;-4.422147;;
5184;700;32;48.393393;-4.422082;;
5201;706;32;48.393393;-4.422018;;
5218;713;32;48.393393;-4.421943;;
5234;724;35;48.393371;-4.421825;;
5251;736;37;48.393357;-4.421696;;
5268;748;40;48.393336;-4.421567;;
5285;759;42;48.393322;-4.421449;;
5301;767;45;48.3933;-4.421364;;
5318;775;46;48.393293;-4.421278;;
5334;784;49;48.393272;-4.421181;;
5351;791;50;48.393265;-4.421106;;
5370;801;53;48.393243;-4.420999;;
5385;812;55;48.393229;-4.420881;;
5401;822;57;48.393215;-4.420773;;
5418;830;57;48.393215;-4.420688;;
5435;839;59;48.3932;-4.420591;;
5451;849;59;48.3932;-4.420484;;
5468;857;60;48.393193;-4.420398;;
5485;863;60;48.393193;-4.420334;;
