time(ms);x;y;lat;lon;contact;announce
3880;995;82;48.393037;-4.418939;;
3911;994;85;48.393015;-4.41895;;
3927;991;92;48.392965;-4.418982;;
3944;987;98;48.392923;-4.419025;;
3961;983;105;48.392873;-4.419068;;
3977;978;110;48.392837;-4.419121;;
3994;974;114;48.392809;-4.419164;;
4011;970;118;48.39278;-4.419207;;
4027;967;121;48.392759;-4.419239;;
4044;963;125;48.39273;-4.419282;;
4063;959;126;48.392723;-4.419325;;
4077;955;128;48.392709;-4.419368;;
4094;950;130;48.392695;-4.419422;;
4111;945;131;48.392687;-4.419475;;
4127;942;131;48.392687;-4.419507;;
4144;937;131;48.392687;-4.419561;;
4161;932;130;48.392695;-4.419615;;
4177;926;128;48.392709;-4.419679;;
4194;918;125;48.39273;-4.419765;;
4211;908;120;48.392766;-4.419872;;
4227;893;113;48.392816;-4.420033;;
4246;877;105;48.392873;-4.420205;;
4261;868;99;48.392915;-4.420301;;
4278;860;94;48.392951;-4.420387;;
4294;854;91;48.392972;-4.420452;;
4311;850;88;48.392994;-4.420495;;
4327;849;86;48.393008;-4.420505;;
4344;846;84;48.393022;-4.420537;;
4377;846;81;48.393044;-4.420537;;
4394;846;82;48.393037;-4.420537;;
4411;846;79;48.393058;-4.420537;;
4444;849;78;48.393065;-4.420505;;
4494;852;77;48.393072;-4.420473;;
4527;854;77;48.393072;-4.420452;;
4561;856;80;48.393051;-4.42043;;
4594;859;86;48.393008;-4.420398;;
4611;861;93;48.392958;-4.420377;;
4628;864;102;48.392894;-4.420344;;
4644;867;112;48.392823;-4.420312;;
4661;870;123;48.392744;-4.42028;;
4678;873;133;48.392673;-4.420248;;
4694;876;143;48.392602;-4.420216;;
4711;879;154;48.392524;-4.420183;;
4728;882;162;48.392467;-4.420151;;
4744;885;170;48.39241;-4.420119;;
4761;887;180;48.392338;-4.420098;;
4778;890;188;48.392281;-4.420065;;
4794;892;194;48.392239;-4.420044;;
4811;894;201;48.392189;-4.420022;;
4828;895;207;48.392146;-4.420012;;
4852;897;212;48.39211;-4.41999;;
4861;898;216;48.392082;-4.41998;;
4878;898;219;48.392061;-4.41998;;
4911;898;222;48.392039;-4.41998;;
4928;898;224;48.392025;-4.41998;;
4965;898;226;48.392011;-4.41998;;
5061;901;219;48.392061;-4.419947;;
5078;904;210;48.392125;-4.419915;;
5095;907;197;48.392217;-4.419883;;
5111;910;184;48.39231;-4.419851;;
5128;914;174;48.392381;-4.419808;;
5145;917;165;48.392445;-4.419776;;
5161;920;158;48.392495;-4.419744;;
5178;923;152;48.392538;-4.419711;;
5195;925;147;48.392574;-4.41969;;
5211;928;143;48.392602;-4.419658;;
5228;932;139;48.392631;-4.419615;;
5245;937;135;48.392659;-4.419561;;
5261;944;132;48.39268;-4.419486;;
5278;954;129;48.392702;-4.419379;;
5295;977;128;48.392709;-4.419132;;
5311;1023;135;48.392659;-4.418638;;
5328;1044;138;48.392638;-4.418413;;
5345;1069;145;48.392588;-4.418145;;
5362;1097;153;48.392531;-4.417845;;
