time(ms);x;y;lat;lon;contact;announce;area
18362;114;237;48.391932;-4.428369;;;1
18476;114;240;48.391911;-4.428369;;;
18559;114;243;48.39189;-4.428369;;;
18659;116;244;48.391882;-4.428348;;;
18676;120;246;48.391868;-4.428305;;;
18693;121;248;48.391854;-4.428294;;;
18878;185;300;48.391483;-4.427608;;;1
18910;182;298;48.391498;-4.42764;;;
18926;180;296;48.391512;-4.427661;;;
18943;177;295;48.391519;-4.427694;;;
18960;173;293;48.391533;-4.427736;;;
18976;171;292;48.39154;-4.427758;;;
18993;168;290;48.391555;-4.42779;;;
19010;164;287;48.391576;-4.427833;;;
19026;161;284;48.391597;-4.427865;;;
19043;158;283;48.391605;-4.427897;;;
19060;155;281;48.391619;-4.42793;;;
19076;152;280;48.391626;-4.427962;;;
19110;150;277;48.391647;-4.427983;;;
20812;153;276;48.391654;-4.427951;;;
20878;156;276;48.391654;-4.427919;;;
20894;159;276;48.391654;-4.427887;;;
20961;160;277;48.391647;-4.427876;;;
20978;162;278;48.39164;-4.427855;;;
21011;162;281;48.391619;-4.427855;;;
21028;162;283;48.391605;-4.427855;;;
21111;160;283;48.391605;-4.427876;;;
21128;157;283;48.391605;-4.427908;;;
21295;160;283;48.391605;-4.427876;;;
21328;163;283;48.391605;-4.427844;;;
21361;166;283;48.391605;-4.427812;;;
21411;168;283;48.391605;-4.42779;;;
21428;168;283;48.391605;-4.42779;;;
21445;171;283;48.391605;-4.427758;;;
21461;175;285;48.39159;-4.427715;;;
21478;187;288;48.391569;-4.427586;;;
21495;203;294;48.391526;-4.427415;;;
21512;218;300;48.391483;-4.427254;;;
21528;230;305;48.391448;-4.427125;;;
21545;238;309;48.391419;-4.427039;;;
21562;243;310;48.391412;-4.426985;;;
21578;246;311;48.391405;-4.426953;;;
21595;249;311;48.391405;-4.426921;;;
21628;252;311;48.391405;-4.426889;;;
21645;255;311;48.391405;-4.426857;;;
21662;257;311;48.391405;-4.426835;;;
21695;260;311;48.391405;-4.426803;;;
21728;262;311;48.391405;-4.426782;;;
21745;264;312;48.391398;-4.42676;;;
21778;267;313;48.391391;-4.426728;;;
21795;271;315;48.391377;-4.426685;;;
21812;274;314;48.391384;-4.426653;;;
21828;277;314;48.391384;-4.426621;;;
21845;280;314;48.391384;-4.426589;;;
21862;283;314;48.391384;-4.426556;;;
21878;286;312;48.391398;-4.426524;;;
21895;289;311;48.391405;-4.426492;;;
21912;292;309;48.391419;-4.42646;;;
21929;295;305;48.391448;-4.426428;;;
21945;299;300;48.391483;-4.426385;;;
21962;304;290;48.391555;-4.426331;;;
21979;309;272;48.391683;-4.426277;;;
21995;312;253;48.391818;-4.426245;;;
22012;313;240;48.391911;-4.426234;;;
22029;314;229;48.391989;-4.426224;;;
22045;315;219;48.392061;-4.426213;;;
22062;315;209;48.392132;-4.426213;;;
22079;315;202;48.392182;-4.426213;;;
22095;315;196;48.392224;-4.426213;;;
22112;314;190;48.392267;-4.426224;;;
22129;313;184;48.39231;-4.426234;;;
22145;313;181;48.392331;-4.426234;;;
22162;311;178;48.392353;-4.426256;;;
22179;310;175;48.392374;-4.426267;;;
22195;308;172;48.392395;-4.426288;;;
22212;306;169;48.392417;-4.42631;;;
22229;303;167;48.392431;-4.426342;;;
22245;301;163;48.39246;-4.426363;;;
22262;297;160;48.392481;-4.426406;;;
22279;296;158;48.392495;-4.426417;;;
22295;292;155;48.392517;-4.42646;;;
22312;290;153;48.392531;-4.426481;;;
22329;289;150;48.392552;-4.426492;;;
22346;287;148;48.392566;-4.426513;;;
22379;286;145;48.392588;-4.426524;;;
22396;285;140;48.392623;-4.426535;;;
22412;285;137;48.392645;-4.426535;;;
22429;285;134;48.392666;-4.426535;;;
22462;285;129;48.392702;-4.426535;;;
22479;286;128;48.392709;-4.426524;;;
22512;290;125;48.39273;-4.426481;;;
22546;293;124;48.392737;-4.426449;;;
22562;298;125;48.39273;-4.426395;;;
22579;303;127;48.392716;-4.426342;;;
22596;310;132;48.39268;-4.426267;;;
22612;318;142;48.392609;-4.426181;;;
22629;325;156;48.392509;-4.426106;;;
22646;330;174;48.392381;-4.426052;;;
22663;330;193;48.392246;-4.426052;;;
22679;329;212;48.39211;-4.426063;;;
22696;327;223;48.392032;-4.426084;;;
22713;324;230;48.391982;-4.426116;;;
22729;323;237;48.391932;-4.426127;;;
22746;322;243;48.39189;-4.426138;;;
22763;321;249;48.391847;-4.426149;;;
22779;321;255;48.391804;-4.426149;;;
22796;321;260;48.391768;-4.426149;;;
22813;321;264;48.39174;-4.426149;;;
22829;321;270;48.391697;-4.426149;;;
22846;321;273;48.391676;-4.426149;;;
22863;321;277;48.391647;-4.426149;;;
22879;321;281;48.391619;-4.426149;;;
22896;321;284;48.391597;-4.426149;;;
22913;321;288;48.391569;-4.426149;;;
22929;321;291;48.391548;-4.426149;;;
22946;321;296;48.391512;-4.426149;;;
22963;321;299;48.391491;-4.426149;;;
22979;321;303;48.391462;-4.426149;;;
